nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
East Of England,2020-02-29,0,0,0,0,0,0,FALSE
East Of England,2020-03-01,0,0,0,0,0,0,FALSE
East Of England,2020-03-02,1,1,0,0,1,1,FALSE
East Of England,2020-03-03,0,1,0,0,0,1,FALSE
East Of England,2020-03-04,0,1,0,0,0,1,FALSE
East Of England,2020-03-05,0,1,0,0,0,1,FALSE
East Of England,2020-03-06,1,2,0,0,1,2,FALSE
East Of England,2020-03-07,0,2,0,0,0,2,FALSE
East Of England,2020-03-08,0,2,0,0,0,2,FALSE
East Of England,2020-03-09,1,3,0,0,1,3,FALSE
East Of England,2020-03-10,0,3,0,0,0,3,FALSE
East Of England,2020-03-11,0,3,0,0,0,3,FALSE
East Of England,2020-03-12,0,3,0,0,0,3,FALSE
East Of England,2020-03-13,1,4,0,0,1,4,FALSE
East Of England,2020-03-14,2,6,0,0,2,6,FALSE
East Of England,2020-03-15,2,8,0,0,2,8,FALSE
East Of England,2020-03-16,1,9,0,0,1,9,FALSE
East Of England,2020-03-17,1,10,0,0,1,10,FALSE
East Of England,2020-03-18,5,15,0,0,5,15,FALSE
East Of England,2020-03-19,4,19,0,0,4,19,FALSE
East Of England,2020-03-20,2,21,0,0,2,21,FALSE
East Of England,2020-03-21,11,32,0,0,11,32,FALSE
East Of England,2020-03-22,12,44,0,0,12,44,FALSE
East Of England,2020-03-23,11,55,0,0,11,55,FALSE
East Of England,2020-03-24,19,74,0,0,19,74,FALSE
East Of England,2020-03-25,26,100,0,0,26,100,FALSE
East Of England,2020-03-26,36,136,0,0,36,136,FALSE
East Of England,2020-03-27,38,174,0,0,38,174,FALSE
East Of England,2020-03-28,28,202,0,0,28,202,FALSE
East Of England,2020-03-29,43,245,0,0,43,245,FALSE
East Of England,2020-03-30,46,291,1,1,47,292,FALSE
East Of England,2020-03-31,70,361,0,1,70,362,FALSE
East Of England,2020-04-01,63,424,0,1,63,425,FALSE
East Of England,2020-04-02,65,489,0,1,65,490,FALSE
East Of England,2020-04-03,80,569,0,1,80,570,FALSE
East Of England,2020-04-04,71,640,0,1,71,641,FALSE
East Of England,2020-04-05,76,716,0,1,76,717,FALSE
East Of England,2020-04-06,71,787,0,1,71,788,FALSE
East Of England,2020-04-07,93,880,0,1,93,881,FALSE
East Of England,2020-04-08,111,991,1,2,112,993,FALSE
East Of England,2020-04-09,87,1078,0,2,87,1080,FALSE
East Of England,2020-04-10,74,1152,0,2,74,1154,FALSE
East Of England,2020-04-11,92,1244,0,2,92,1246,FALSE
East Of England,2020-04-12,100,1344,0,2,100,1346,FALSE
East Of England,2020-04-13,78,1422,0,2,78,1424,FALSE
East Of England,2020-04-14,61,1483,0,2,61,1485,FALSE
East Of England,2020-04-15,82,1565,0,2,82,1567,FALSE
East Of England,2020-04-16,74,1639,0,2,74,1641,FALSE
East Of England,2020-04-17,86,1725,0,2,86,1727,FALSE
East Of England,2020-04-18,64,1789,0,2,64,1791,FALSE
East Of England,2020-04-19,67,1856,0,2,67,1858,FALSE
East Of England,2020-04-20,67,1923,0,2,67,1925,FALSE
East Of England,2020-04-21,75,1998,0,2,75,2000,FALSE
East Of England,2020-04-22,67,2065,0,2,67,2067,FALSE
East Of England,2020-04-23,49,2114,0,2,49,2116,FALSE
East Of England,2020-04-24,66,2180,4,6,70,2186,FALSE
East Of England,2020-04-25,54,2234,1,7,55,2241,FALSE
East Of England,2020-04-26,48,2282,4,11,52,2293,FALSE
East Of England,2020-04-27,46,2328,3,14,49,2342,FALSE
East Of England,2020-04-28,58,2386,8,22,66,2408,FALSE
East Of England,2020-04-29,32,2418,6,28,38,2446,FALSE
East Of England,2020-04-30,45,2463,5,33,50,2496,FALSE
East Of England,2020-05-01,49,2512,6,39,55,2551,FALSE
East Of England,2020-05-02,29,2541,4,43,33,2584,FALSE
East Of England,2020-05-03,41,2582,3,46,44,2628,FALSE
East Of England,2020-05-04,19,2601,4,50,23,2651,FALSE
East Of England,2020-05-05,37,2638,3,53,40,2691,FALSE
East Of England,2020-05-06,32,2670,7,60,39,2730,FALSE
East Of England,2020-05-07,33,2703,3,63,36,2766,FALSE
East Of England,2020-05-08,33,2736,4,67,37,2803,FALSE
East Of England,2020-05-09,29,2765,1,68,30,2833,FALSE
East Of England,2020-05-10,22,2787,6,74,28,2861,FALSE
East Of England,2020-05-11,18,2805,5,79,23,2884,FALSE
East Of England,2020-05-12,21,2826,2,81,23,2907,FALSE
East Of England,2020-05-13,27,2853,5,86,32,2939,FALSE
East Of England,2020-05-14,26,2879,4,90,30,2969,FALSE
East Of England,2020-05-15,19,2898,2,92,21,2990,FALSE
East Of England,2020-05-16,26,2924,1,93,27,3017,FALSE
East Of England,2020-05-17,17,2941,5,98,22,3039,FALSE
East Of England,2020-05-18,25,2966,2,100,27,3066,FALSE
East Of England,2020-05-19,15,2981,7,107,22,3088,FALSE
East Of England,2020-05-20,26,3007,0,107,26,3114,FALSE
East Of England,2020-05-21,21,3028,3,110,24,3138,FALSE
East Of England,2020-05-22,13,3041,8,118,21,3159,FALSE
East Of England,2020-05-23,12,3053,4,122,16,3175,FALSE
East Of England,2020-05-24,17,3070,2,124,19,3194,FALSE
East Of England,2020-05-25,25,3095,0,124,25,3219,FALSE
East Of England,2020-05-26,14,3109,4,128,18,3237,FALSE
East Of England,2020-05-27,12,3121,4,132,16,3253,FALSE
East Of England,2020-05-28,17,3138,0,132,17,3270,FALSE
East Of England,2020-05-29,16,3154,3,135,19,3289,FALSE
East Of England,2020-05-30,9,3163,4,139,13,3302,FALSE
East Of England,2020-05-31,8,3171,3,142,11,3313,FALSE
East Of England,2020-06-01,17,3188,1,143,18,3331,FALSE
East Of England,2020-06-02,14,3202,2,145,16,3347,FALSE
East Of England,2020-06-03,10,3212,2,147,12,3359,FALSE
East Of England,2020-06-04,7,3219,0,147,7,3366,FALSE
East Of England,2020-06-05,14,3233,3,150,17,3383,FALSE
East Of England,2020-06-06,5,3238,1,151,6,3389,FALSE
East Of England,2020-06-07,9,3247,0,151,9,3398,FALSE
East Of England,2020-06-08,7,3254,1,152,8,3406,FALSE
East Of England,2020-06-09,6,3260,4,156,10,3416,FALSE
East Of England,2020-06-10,8,3268,2,158,10,3426,FALSE
East Of England,2020-06-11,1,3269,0,158,1,3427,FALSE
East Of England,2020-06-12,9,3278,0,158,9,3436,FALSE
East Of England,2020-06-13,5,3283,1,159,6,3442,FALSE
East Of England,2020-06-14,4,3287,1,160,5,3447,FALSE
East Of England,2020-06-15,8,3295,2,162,10,3457,FALSE
East Of England,2020-06-16,3,3298,0,162,3,3460,FALSE
East Of England,2020-06-17,7,3305,1,163,8,3468,FALSE
East Of England,2020-06-18,4,3309,2,165,6,3474,FALSE
East Of England,2020-06-19,7,3316,0,165,7,3481,FALSE
East Of England,2020-06-20,4,3320,1,166,5,3486,FALSE
East Of England,2020-06-21,3,3323,2,168,5,3491,FALSE
East Of England,2020-06-22,6,3329,1,169,7,3498,FALSE
East Of England,2020-06-23,5,3334,4,173,9,3507,FALSE
East Of England,2020-06-24,4,3338,0,173,4,3511,FALSE
East Of England,2020-06-25,1,3339,1,174,2,3513,FALSE
East Of England,2020-06-26,6,3345,3,177,9,3522,FALSE
East Of England,2020-06-27,6,3351,1,178,7,3529,FALSE
East Of England,2020-06-28,8,3359,0,178,8,3537,FALSE
East Of England,2020-06-29,4,3363,1,179,5,3542,FALSE
East Of England,2020-06-30,5,3368,3,182,8,3550,FALSE
East Of England,2020-07-01,2,3370,1,183,3,3553,FALSE
East Of England,2020-07-02,5,3375,0,183,5,3558,FALSE
East Of England,2020-07-03,0,3375,1,184,1,3559,FALSE
East Of England,2020-07-04,3,3378,2,186,5,3564,FALSE
East Of England,2020-07-05,1,3379,1,187,2,3566,FALSE
East Of England,2020-07-06,2,3381,0,187,2,3568,FALSE
East Of England,2020-07-07,2,3383,1,188,3,3571,FALSE
East Of England,2020-07-08,0,3383,3,191,3,3574,FALSE
East Of England,2020-07-09,8,3391,1,192,9,3583,FALSE
East Of England,2020-07-10,4,3395,2,194,6,3589,FALSE
East Of England,2020-07-11,2,3397,0,194,2,3591,FALSE
East Of England,2020-07-12,1,3398,1,195,2,3593,FALSE
East Of England,2020-07-13,8,3406,1,196,9,3602,FALSE
East Of England,2020-07-14,2,3408,1,197,3,3605,FALSE
East Of England,2020-07-15,0,3408,3,200,3,3608,FALSE
East Of England,2020-07-16,0,3408,1,201,1,3609,FALSE
East Of England,2020-07-17,0,3408,0,201,0,3609,FALSE
East Of England,2020-07-18,0,3408,0,201,0,3609,FALSE
East Of England,2020-07-19,1,3409,0,201,1,3610,FALSE
East Of England,2020-07-20,1,3410,0,201,1,3611,FALSE
East Of England,2020-07-21,1,3411,0,201,1,3612,FALSE
East Of England,2020-07-22,2,3413,1,202,3,3615,FALSE
East Of England,2020-07-23,1,3414,1,203,2,3617,FALSE
East Of England,2020-07-24,1,3415,0,203,1,3618,FALSE
East Of England,2020-07-25,0,3415,1,204,1,3619,FALSE
East Of England,2020-07-26,1,3416,0,204,1,3620,FALSE
East Of England,2020-07-27,1,3417,0,204,1,3621,FALSE
East Of England,2020-07-28,2,3419,0,204,2,3623,FALSE
East Of England,2020-07-29,0,3419,1,205,1,3624,FALSE
East Of England,2020-07-30,0,3419,1,206,1,3625,FALSE
East Of England,2020-07-31,1,3420,1,207,2,3627,FALSE
East Of England,2020-08-01,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-02,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-03,0,3420,0,207,0,3627,FALSE
East Of England,2020-08-04,1,3421,1,208,2,3629,FALSE
East Of England,2020-08-05,1,3422,0,208,1,3630,FALSE
East Of England,2020-08-06,0,3422,1,209,1,3631,FALSE
East Of England,2020-08-07,1,3423,0,209,1,3632,FALSE
East Of England,2020-08-08,0,3423,0,209,0,3632,FALSE
